selling price,no_of_bedrooms,has_servant_quarters,property_type,clean_location,zoning_tier
130000000,6.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
26950000,4.0,1,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
16000000,4.0,0,Villa,Ongata Rongai,SatelliteTowns/Commuter Belt
45000000,5.0,0,Villa,Ngong,SatelliteTowns/Commuter Belt
72000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
46000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
85000000,5.0,0,Villa,Lavington,Premium Nairobi Suburbs
50000000,5.0,0,Townhouse,Kileleshwa,Premium Nairobi Suburbs
75000000,5.0,1,Townhouse,Lavington,Premium Nairobi Suburbs
140000000,4.0,0,Villa,Muthaiga,Premium Nairobi Suburbs
15000000,4.0,0,Villa,Other,Other_Unclassified
60000000,4.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
50000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
55000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
85000000,4.0,1,Villa,Westlands,Premium Nairobi Suburbs
130000000,6.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
65000000,5.0,1,Villa,Kikuyu,SatelliteTowns/Commuter Belt
15000000,3.0,1,Villa,Other,Other_Unclassified
55000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
85000000,4.0,1,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
48000000,4.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
130000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
88000000,4.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
27000000,4.0,0,Townhouse,Lang'ata,High Density Upcoming Suburbs
150000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
120000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
110000000,6.0,0,Villa,Lavington,Premium Nairobi Suburbs
90000000,5.0,0,Villa,Watamu,Coastal Market Corridor
85000000,3.0,0,Villa,Westlands,Premium Nairobi Suburbs
35000000,4.0,0,Villa,Nyali,Coastal Market Corridor
59000000,4.0,0,Villa,Nyali,Coastal Market Corridor
90000000,4.0,0,Villa,Westlands,Premium Nairobi Suburbs
150000000,6.0,0,Villa,Westlands,Premium Nairobi Suburbs
95000000,5.0,0,Villa,Naivasha,Upcountry Luxury Zone
24000000,4.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
20000000,4.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
90000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
23000000,4.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
130000000,4.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
60000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
45000000,4.0,0,Villa,Nyali,Coastal Market Corridor
50000000,4.0,1,Townhouse,Lavington,Premium Nairobi Suburbs
115000000,4.0,0,Villa,Westlands,Premium Nairobi Suburbs
38000000,4.0,0,Townhouse,Nyali,Coastal Market Corridor
16500000,5.0,0,Villa,Ngong,SatelliteTowns/Commuter Belt
32250000,3.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
20000000,4.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
65000000,4.0,1,Villa,Westlands,Premium Nairobi Suburbs
39000000,4.0,0,Villa,Westlands,Premium Nairobi Suburbs
9500000,3.0,1,Villa,Ruiru,Kiambu/Thika_Road Corridor
15000000,4.0,0,Villa,Lang'ata,High Density Upcoming Suburbs
16500000,4.0,0,Villa,Mtwapa,Coastal Market Corridor
16000000,3.0,0,Townhouse,Other,Other_Unclassified
28000000,3.0,0,Townhouse,Mombasa,Coastal Market Corridor
8950000,4.0,0,Villa,Mombasa,Coastal Market Corridor
85000000,4.0,0,Villa,Mtwapa,Coastal Market Corridor
50600000,5.0,1,Townhouse,Lavington,Premium Nairobi Suburbs
150000000,6.0,0,Villa,Nyali,Coastal Market Corridor
55000000,4.0,0,Villa,Kilimani,Premium Nairobi Suburbs
75000000,4.0,0,Villa,Mtwapa,Coastal Market Corridor
